58170.000,243.000,-7.911,-7.892
58070.000,243.000,-7.888,-7.865
57970.000,243.000,-7.860,-7.841
57870.000,243.000,-7.836,-7.813
57770.000,243.000,-7.812,-7.788
57670.000,179.000,-7.784,-7.763
57570.000,179.000,-7.761,-7.738
57470.000,179.000,-7.738,-7.715
57370.000,179.000,-7.714,-7.691
57270.000,179.000,-7.690,-7.668
57170.000,179.000,-7.665,-7.641
57070.000,179.000,-7.638,-7.615
56970.000,179.000,-7.613,-7.592
56870.000,179.000,-7.586,-7.565
56770.000,179.000,-7.561,-7.540
56670.000,179.000,-7.539,-7.515
56570.000,179.000,-7.513,-7.487
56470.000,243.000,-7.487,-7.464
56370.000,243.000,-7.463,-7.437
56270.000,243.000,-7.434,-7.411
56170.000,243.000,-7.411,-7.385
56070.000,243.000,-7.385,-7.358
55970.000,243.000,-7.357,-7.334
55870.000,243.000,-7.331,-7.309
55770.000,243.000,-7.307,-7.281
55670.000,243.000,-7.285,-7.256
55570.000,243.000,-7.260,-7.232
55470.000,243.000,-7.239,-7.210
55370.000,243.000,-7.214,-7.184
55270.000,243.000,-7.191,-7.159
55170.000,243.000,-7.167,-7.135
55070.000,243.000,-7.141,-7.109
54970.000,243.000,-7.116,-7.084
54870.000,243.000,-7.088,-7.057
54770.000,243.000,-7.064,-7.033
54670.000,243.000,-7.041,-7.006
54570.000,243.000,-7.016,-6.983
54470.000,243.000,-6.990,-6.958
54370.000,243.000,-6.964,-6.931
54270.000,243.000,-6.938,-6.907
54170.000,243.000,-6.911,-6.881
54070.000,243.000,-6.888,-6.857
53970.000,243.000,-6.863,-6.832
53870.000,243.000,-6.838,-6.805
53770.000,243.000,-6.814,-6.780
53670.000,243.000,-6.790,-6.758
53570.000,243.000,-6.765,-6.736
53470.000,243.000,-6.741,-6.710
53370.000,243.000,-6.715,-6.688
53270.000,243.000,-6.691,-6.662
53170.000,243.000,-6.667,-6.638
53070.000,243.000,-6.638,-6.614
52970.000,243.000,-6.613,-6.587
52870.000,243.000,-6.587,-6.564
52770.000,243.000,-6.562,-6.537
52670.000,243.000,-6.535,-6.515
